iter	Passed	Remaining
0	1	578
1	2	480
2	3	405
3	3	363
4	4	348
5	5	347
6	6	338
7	6	339
8	7	337
9	8	335
10	9	329
11	10	328
12	11	329
13	11	326
14	12	322
15	13	320
16	14	319
17	15	320
18	15	313
19	16	308
20	16	305
21	17	303
22	18	304
23	19	303
24	20	303
25	21	302
26	21	301
27	22	301
28	23	299
29	24	299
30	25	297
31	25	297
32	26	297
33	27	297
34	28	298
35	29	298
36	30	298
37	31	299
38	32	299
39	33	299
40	33	297
41	34	296
42	35	296
43	36	295
44	37	294
45	38	294
46	39	293
47	39	292
48	40	292
49	41	290
50	42	290
51	43	289
52	44	289
53	45	289
54	46	291
55	47	291
56	48	288
57	48	286
58	49	285
59	50	285
60	51	284
61	52	283
62	52	282
63	53	281
64	54	280
65	55	279
66	56	279
67	57	278
68	57	277
69	58	277
70	59	276
71	60	275
72	61	274
73	62	275
74	63	275
75	64	275
76	65	274
77	66	273
78	67	272
79	67	271
80	68	270
81	69	269
82	70	268
83	71	267
84	71	266
85	72	264
86	73	263
87	73	261
88	74	259
89	75	259
90	76	258
91	77	257
92	77	257
93	79	257
94	79	256
95	80	255
96	81	254
97	82	253
98	83	252
99	84	252
100	84	250
101	85	250
102	86	249
103	87	247
104	88	247
105	89	247
106	90	247
107	91	246
108	91	245
109	92	243
110	93	242
111	93	240
112	94	239
113	94	238
114	95	236
115	96	235
116	96	233
117	97	232
118	97	230
119	98	230
120	99	229
121	100	228
122	100	227
123	101	226
124	102	226
125	103	225
126	104	225
127	105	224
128	106	223
129	106	221
130	107	221
131	108	219
132	108	218
133	109	216
134	109	215
135	110	214
136	111	213
137	111	212
138	112	211
139	113	211
140	114	210
141	115	209
142	116	209
143	117	209
144	118	208
145	119	207
146	119	206
147	120	205
148	121	204
149	122	203
150	123	202
151	123	202
152	124	201
153	125	200
154	126	199
155	127	198
156	128	198
157	128	197
158	129	196
159	130	195
160	131	194
161	131	193
162	132	192
163	133	191
164	134	191
165	135	190
166	135	189
167	136	188
168	136	187
169	137	186
170	138	185
171	139	184
172	139	183
173	140	182
174	141	181
175	142	180
176	142	180
177	143	179
178	144	178
179	145	177
180	146	176
181	146	175
182	147	174
183	148	173
184	149	173
185	150	172
186	150	171
187	151	171
188	152	170
189	153	169
190	153	168
191	154	167
192	155	166
193	156	165
194	156	165
195	157	164
196	158	163
197	159	162
198	160	161
199	160	160
200	161	160
201	162	159
202	164	159
203	164	158
204	165	157
205	166	157
206	167	156
207	168	155
208	169	154
209	170	153
210	170	153
211	171	152
212	172	151
213	173	150
214	174	149
215	174	148
216	175	148
217	176	147
218	177	146
219	178	146
220	179	145
221	180	144
222	181	143
223	181	142
224	182	141
225	183	141
226	183	140
227	184	139
228	185	138
229	185	137
230	186	136
231	187	135
232	188	134
233	188	134
234	189	133
235	190	132
236	191	131
237	192	131
238	193	130
239	194	129
240	195	128
241	196	128
242	196	127
243	197	126
244	197	125
245	198	124
246	199	123
247	200	122
248	200	121
249	201	121
250	202	120
251	203	119
252	204	118
253	204	117
254	205	116
255	206	116
256	207	115
257	208	114
258	209	113
259	209	112
260	210	112
261	211	111
262	212	110
263	213	109
264	213	109
265	214	108
266	215	107
267	216	106
268	217	105
269	217	104
270	218	104
271	219	103
272	220	102
273	221	101
274	222	101
275	223	100
276	224	99
277	225	98
278	225	97
279	226	97
280	227	96
281	228	95
282	229	94
283	230	94
284	230	93
285	231	92
286	232	91
287	233	90
288	234	89
289	235	89
290	236	88
291	237	87
292	238	86
293	238	86
294	239	85
295	240	84
296	241	83
297	242	82
298	243	82
299	243	81
300	244	80
301	245	79
302	246	78
303	247	78
304	248	77
305	248	76
306	249	75
307	251	74
308	251	74
309	252	73
310	253	72
311	254	71
312	255	71
313	256	70
314	257	69
315	258	68
316	258	67
317	259	66
318	260	66
319	261	65
320	262	64
321	263	63
322	264	62
323	264	62
324	266	61
325	267	60
326	268	59
327	268	59
328	269	58
329	270	57
330	271	56
331	272	55
332	272	54
333	273	54
334	274	53
335	275	52
336	276	51
337	277	50
338	277	49
339	278	49
340	279	48
341	280	47
342	281	46
343	282	46
344	283	45
345	284	44
346	284	43
347	285	42
348	286	41
349	287	41
350	288	40
351	289	39
352	289	38
353	290	37
354	291	36
355	292	36
356	293	35
357	293	34
358	294	33
359	296	32
360	297	32
361	297	31
362	298	30
363	299	29
364	300	28
365	301	27
366	302	27
367	303	26
368	304	25
369	304	24
370	305	23
371	306	23
372	307	22
373	308	21
374	309	20
375	310	19
376	311	18
377	312	18
378	312	17
379	313	16
380	314	15
381	315	14
382	315	14
383	316	13
384	317	12
385	318	11
386	318	10
387	319	9
388	320	9
389	321	8
390	322	7
391	322	6
392	323	5
393	324	4
394	325	4
395	326	3
396	327	2
397	328	1
398	328	0
399	329	0
